### nemc.name,nemc.child,nem.name,nesi.valuetype,nesi.unit,nesi.valuetype,nesi.unit,nesi.valuetype,nesi.unit
Material,Type,Form,EE,MJ/kg,EC,kgCO_2/kg,ECe,kgCO_2e/kg
!!!
Aggregate,,,0.083,,0.0048,,,
Ceramic,,,10,,0.66,,0.70,
Ceramic,Fittings,,20.00,,1.07,,1.14,
Ceramic,Sanitary Products,,29.00,,1.51,,1.61,
Ceramic,Tiles,,12.00,,0.74,,0.78,
Clay,,,3.00,,0.23,,0.24,
Clay,Tile,,6.50,,0.45,,0.48,
Clay,Vitrified Pipe,DN 100,6.20,,0.44,,0.46,
Clay,Vitrified Pipe,DN 150,6.20,,0.44,,0.46,
Clay,Vitrified Pipe,DN 200,7.00,,0.48,,0.50,
Clay,Vitrified Pipe,DN 300,7.00,,0.48,,0.50,
Clay,Vitrified Pipe,DN 500,7.90,,0.52,,0.55,
Carpet,Polyethylterephtalate,,106.5,,5.56,
Carpet,Polypropylene,,95.40,,4.98,
Carpet,Polyurethane,,72.10,,3.76,
Carpet,Rubber,,103.75,,5.545,
Carpet,Saturated Felt Underlay,,31.70,,1.65,
Carpet,Wool,,106.00,,5.53,
Cement,,,4.5,,0.73,,0.74,
Concrete,,,0.75,,0.100,,0.107,
Concrete,,16/20MPa,0.70,,0.093,,0.100,
Concrete,,20/25MPa,0.74,,0.100,,0.107,
Concrete,,25/30MPa,0.78,,0.106,,0.113,
Concrete,,28/35MPa,0.82,,0.112,,0.120,
Concrete,,32/40MPa,0.88,,0.123,,0.132,
Concrete,,40/50MPa,1.00,,0.141,,0.151,
Glass,Primary,,15.00,,0.86,,0.91,
Glass,Secondary,,11.50,,0.55,,0.59,
Glass,Fiberglass,,28.00,,1.54,,,
Glass,Toughened,,23.50,,1.27,,1.35,
Insulation,,,45.00,,1.86,,,
Insulation,Cellular Glass,,27.00,,,,,
Insulation,Cellulose,,0.94,,,,,
Insulation,Cellulose,,3.3,,,,,
Insulation,Cork,,4.00,,0.19,,,
Insulation,Fiberglass,,28.00,,1.35,,,
