"cid"	"resource"
0	"302f5076-7f8e-11e3-bc66-f07bcb4eb64e"
1	"304a58e4-7f8e-11e3-bc66-f07bcb4eb64e"
1	"304a79fa-7f8e-11e3-bc66-f07bcb4eb64e"
1	"304aff24-7f8e-11e3-bc66-f07bcb4eb64e"
1	"304ba794-7f8e-11e3-bc66-f07bcb4eb64e"
1	"304d6ab6-7f8e-11e3-bc66-f07bcb4eb64e"
1	"304eed32-7f8e-11e3-bc66-f07bcb4eb64e"
1	"3051e4c4-7f8e-11e3-bc66-f07bcb4eb64e"
2	"304a8954-7f8e-11e3-bc66-f07bcb4eb64e"
2	"304b0fbe-7f8e-11e3-bc66-f07bcb4eb64e"
2	"304bb9f0-7f8e-11e3-bc66-f07bcb4eb64e"
2	"304d80b4-7f8e-11e3-bc66-f07bcb4eb64e"
2	"304f09fc-7f8e-11e3-bc66-f07bcb4eb64e"
2	"3051f946-7f8e-11e3-bc66-f07bcb4eb64e"
3	"304bcbc0-7f8e-11e3-bc66-f07bcb4eb64e"
3	"304d94e6-7f8e-11e3-bc66-f07bcb4eb64e"
3	"304f234c-7f8e-11e3-bc66-f07bcb4eb64e"
3	"30520b34-7f8e-11e3-bc66-f07bcb4eb64e"
4	"304be826-7f8e-11e3-bc66-f07bcb4eb64e"
4	"304daaee-7f8e-11e3-bc66-f07bcb4eb64e"
4	"3050b68a-7f8e-11e3-bc66-f07bcb4eb64e"
4	"3053a78c-7f8e-11e3-bc66-f07bcb4eb64e"
5	"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"
5	"304dbdf4-7f8e-11e3-bc66-f07bcb4eb64e"
5	"3050c9f4-7f8e-11e3-bc66-f07bcb4eb64e"
5	"3053c370-7f8e-11e3-bc66-f07bcb4eb64e"
6	"304c2520-7f8e-11e3-bc66-f07bcb4eb64e"
6	"304dd1f4-7f8e-11e3-bc66-f07bcb4eb64e"
6	"3050df70-7f8e-11e3-bc66-f07bcb4eb64e"
6	"3053dcd4-7f8e-11e3-bc66-f07bcb4eb64e"
7	"304c4096-7f8e-11e3-bc66-f07bcb4eb64e"
7	"304de4d2-7f8e-11e3-bc66-f07bcb4eb64e"
7	"3050f5b4-7f8e-11e3-bc66-f07bcb4eb64e"
7	"3053f962-7f8e-11e3-bc66-f07bcb4eb64e"
8	"304c5e64-7f8e-11e3-bc66-f07bcb4eb64e"
8	"304df8f0-7f8e-11e3-bc66-f07bcb4eb64e"
8	"30510c48-7f8e-11e3-bc66-f07bcb4eb64e"
8	"30541406-7f8e-11e3-bc66-f07bcb4eb64e"
9	"304c7980-7f8e-11e3-bc66-f07bcb4eb64e"
9	"304e0be2-7f8e-11e3-bc66-f07bcb4eb64e"
9	"30511eea-7f8e-11e3-bc66-f07bcb4eb64e"
9	"30542cd4-7f8e-11e3-bc66-f07bcb4eb64e"
10	"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"
10	"304e20e6-7f8e-11e3-bc66-f07bcb4eb64e"
