"rid"	"name"	"description"	"short_name"
"3035e88c-7f8e-11e3-bc66-f07bcb4eb64e"	"1:0.5:4.5 Cement:Lime:Sand"		
"3033a50e-7f8e-11e3-bc66-f07bcb4eb64e"	"1:1:6 Cement:Lime:Sand"		
"30335054-7f8e-11e3-bc66-f07bcb4eb64e"	"1:2:9 Cement:Lime:Sand"		
"3037ab90-7f8e-11e3-bc66-f07bcb4eb64e"	"1:3 Cement:Sand"		
"3034dbb8-7f8e-11e3-bc66-f07bcb4eb64e"	"1:4 Cement:Sand"		
"30366b22-7f8e-11e3-bc66-f07bcb4eb64e"	"1:5 Cement:Sand"		
"3038d2ea-7f8e-11e3-bc66-f07bcb4eb64e"	"1:6 Cement:Sand"		
"30352cee-7f8e-11e3-bc66-f07bcb4eb64e"	"16/20MPa Concrete"		
"3033ba9e-7f8e-11e3-bc66-f07bcb4eb64e"	"20/25MPa Concrete"		
"303e9d06-7f8e-11e3-bc66-f07bcb4eb64e"	"25/30MPa Concrete"		
"30338c90-7f8e-11e3-bc66-f07bcb4eb64e"	"28/35MPa Concrete"		
"303eec3e-7f8e-11e3-bc66-f07bcb4eb64e"	"3,4-Ethylenedioxythiophene"		"EDOT"
"303e0404-7f8e-11e3-bc66-f07bcb4eb64e"	"32/40MPa Concrete"		
"303e242a-7f8e-11e3-bc66-f07bcb4eb64e"	"40/50MPa Concrete"		
"303bc02c-7f8e-11e3-bc66-f07bcb4eb64e"	"Nylon 6 Polymer"		
"303832fe-7f8e-11e3-bc66-f07bcb4eb64e"	"ABS"		
"302db7a2-7f8e-11e3-bc66-f07bcb4eb64e"	"Aggregate Composites"		
"302a0238-7f8e-11e3-bc66-f07bcb4eb64e"	"Aggregates"		
"302e38f8-7f8e-11e3-bc66-f07bcb4eb64e"	"Alloy Metals"		
"302e52c0-7f8e-11e3-bc66-f07bcb4eb64e"	"Alloy Metals"		
"303ab09c-7f8e-11e3-bc66-f07bcb4eb64e"	"Amorphous Silicon Photovoltaics"		"a-Si PV"
"303ac5b4-7f8e-11e3-bc66-f07bcb4eb64e"	"Amorphous Silicon Photovoltaics"		"a-Si PV"
"302a2ed4-7f8e-11e3-bc66-f07bcb4eb64e"	"Asbestos"		
"302a5b2a-7f8e-11e3-bc66-f07bcb4eb64e"	"Asphalt"	"Asphalt(243) and bitumen (244) may be the same material"	
"302de380-7f8e-11e3-bc66-f07bcb4eb64e"	"Binders"		
"302a7b96-7f8e-11e3-bc66-f07bcb4eb64e"	"Bitumen"	"Asphalt(243) and bitumen (244) may be the same material"	
"302a9194-7f8e-11e3-bc66-f07bcb4eb64e"	"Brass"		
"3038eda2-7f8e-11e3-bc66-f07bcb4eb64e"	"Bronze"		
"3030a098-7f8e-11e3-bc66-f07bcb4eb64e"	"Cadmium Telluride Photovoltaics"	"CdTe"	"CdTe"
"3030b7d6-7f8e-11e3-bc66-f07bcb4eb64e"	"Cadmium Telluride Photovoltaics"	"CdTe"	"CdTe"
"3038680a-7f8e-11e3-bc66-f07bcb4eb64e"	"Calcium Silicate"		
"302aa508-7f8e-11e3-bc66-f07bcb4eb64e"	"Carpet"		
"3036877e-7f8e-11e3-bc66-f07bcb4eb64e"	"Carpet"		
"3036a362-7f8e-11e3-bc66-f07bcb4eb64e"	"Carpet"		
"303a9d8c-7f8e-11e3-bc66-f07bcb4eb64e"	"Cellular Glass"		
"303a4e7c-7f8e-11e3-bc66-f07bcb4eb64e"	"Cellulose"		
