"rid"	"name"	"short_name"
"30542cd4-7f8e-11e3-bc66-f07bcb4eb64e"	"Energy"	"e"
"304a49c6-7f8e-11e3-bc66-f07bcb4eb64e"	"Hydrogen"	"H"
"304a58e4-7f8e-11e3-bc66-f07bcb4eb64e"	"Helium"	"He"
"304a6794-7f8e-11e3-bc66-f07bcb4eb64e"	"Lithium"	"Li"
"304a79fa-7f8e-11e3-bc66-f07bcb4eb64e"	"Beryllium"	"Be"
"304a8954-7f8e-11e3-bc66-f07bcb4eb64e"	"Boron"	"B"
"304a9c14-7f8e-11e3-bc66-f07bcb4eb64e"	"Carbon"	"C"
"304aacb8-7f8e-11e3-bc66-f07bcb4eb64e"	"Nitrogen"	"N"
"304abf46-7f8e-11e3-bc66-f07bcb4eb64e"	"Oxygen"	"O"
"304ad03a-7f8e-11e3-bc66-f07bcb4eb64e"	"Fluorine"	"F"
"304adf30-7f8e-11e3-bc66-f07bcb4eb64e"	"Neon"	"Ne"
"304af038-7f8e-11e3-bc66-f07bcb4eb64e"	"Sodium"	"Na"
"304aff24-7f8e-11e3-bc66-f07bcb4eb64e"	"Magnesium"	"Mg"
"304b0fbe-7f8e-11e3-bc66-f07bcb4eb64e"	"Aluminum"	"Al"
"304b1e8c-7f8e-11e3-bc66-f07bcb4eb64e"	"Silicon"	"Si"
"304b2d28-7f8e-11e3-bc66-f07bcb4eb64e"	"Phosphorus"	"P"
"304b411e-7f8e-11e3-bc66-f07bcb4eb64e"	"Sulfur"	"S"
"304b5456-7f8e-11e3-bc66-f07bcb4eb64e"	"Chlorine"	"Cl"
"304b71a2-7f8e-11e3-bc66-f07bcb4eb64e"	"Argon"	"Ar"
"304b8d68-7f8e-11e3-bc66-f07bcb4eb64e"	"Potassium"	"K"
"304ba794-7f8e-11e3-bc66-f07bcb4eb64e"	"Calcium"	"Ca"
"304bb9f0-7f8e-11e3-bc66-f07bcb4eb64e"	"Scandium"	"Sc"
"304bcbc0-7f8e-11e3-bc66-f07bcb4eb64e"	"Titanium"	"Ti"
"304be826-7f8e-11e3-bc66-f07bcb4eb64e"	"Vanadium"	"V"
"304c0842-7f8e-11e3-bc66-f07bcb4eb64e"	"Chromium"	"Cr"
"304c2520-7f8e-11e3-bc66-f07bcb4eb64e"	"Manganese"	"Mn"
"304c4096-7f8e-11e3-bc66-f07bcb4eb64e"	"Iron"	"Fe"
"304c5e64-7f8e-11e3-bc66-f07bcb4eb64e"	"Cobalt"	"Co"
"304c7980-7f8e-11e3-bc66-f07bcb4eb64e"	"Nickel"	"Ni"
"304c9384-7f8e-11e3-bc66-f07bcb4eb64e"	"Copper"	"Cu"
"304cac20-7f8e-11e3-bc66-f07bcb4eb64e"	"Zinc"	"Zn"
