"resource"	"collection"	"process"	"actor"	"obj"	"sub"	"date"	"value"	"unit"	"value_type"	"reference"	"source"	"description"
	27					"2050-01-01"	0	"TWh"	"EN"	302	"World"	"IEA BLUE Map scenario"
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource"	"collection"	"2020-01-01"	0.001	"kt"	"D"	301	"World"	"Strategic Energy Technology scenario"
"30550334-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	0.001	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3039dc6c-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	0.002	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"3039dc6c-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	0.002	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"304d2b5a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource"	"collection"	"2020-01-01"	0.004	"kt"	"D"	301	"World"	"Strategic Energy Technology scenario"
"3050b68a-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource"	"collection"	"2020-01-01"	0.00424	"kt"	"D"	301	"World"	"Strategic Energy Technology scenario"
"302a0238-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	0.0048	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c63c0-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	0.0048	"kgCO2/kg"	"EC"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"302c63c0-7f8e-11e3-bc66-f07bcb4eb64e"						"2011-01-11"	0.0051	"kgCO2e/kg"	"ECe"	300	"World"	"Inventory of Carbon and Energy (ICE)"
"304ce37a-7f8e-11e3-bc66-f07bcb4eb64e"	22			"resource"	"collection"	"2030-01-01"	0.006	"kt"	"D"	301	"World"	"Strategic Energy Technology scenario"
"3050b68a-7f8e-11e3-bc66-f07bcb4eb64e"	21			"resource"	"collection"	"2030-01-01"	0.006	"kt"	"D"	301	"World"	"Strategic Energy Technology scenario"
