nemc.pk	nemc.classname	nemc.subclass
120	Water	
241	Aggregate	
242	Asbestos	
243	Asphalt	
244	Bitumen	
245	Brass	
246	Bricks	
247	Bronze Materials	
249	Carpet	250
250	Carpet Grout	
251	Cement	
252	Ceramics	
253	Clay	
254	Concrete	
255	Cotton	
256	Damp Proof Course	
257	Felt	
258	Fiberboard	
259	Flax	
260	Fly Ash	
270	GGBS	
271	Glass	
272	Grit	
273	Grout	
274	Hardwood	
275	Insulation	
276	Lime	
277	Limestone	
278	Linoleum	
279	Lumber	
280	Mandolite	
281	Mineral Fiber	
282	Monocrystalline Materials	
283	Mortar	
284	Nylon	
285	Paint	
286	Paper	
287	Perlite	
288	Plaster	
289	Plastic	
290	Polycrystalline Materials	
291	Quartz	
292	Rubber	
293	Sand	
294	Sealant	
295	Softwood	
296	Soil	
297	Steel	
298	Stone	
299	Straw	
300	Terazzo	
301	Thin Films	
302	Timber	
303	Vermiculite	
304	Vicuclad	
305	Wax	
306	Wood Stain	
306	Zirconium	
