nemd.parent_resource,nemd.dependency,nemd.dependency_mult,
,,,
,,,
,,,
,,,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,13,0.33,
,13,0,
,13,1,
,,,
,,,
,,,
,,0.04,Bitumen
,,0.04,Bitumen
,,0.05,Bitumen
,,0.06,Bitumen
,,0.07,Bitumen
,,0.08,Bitumen
,,0.04,Bitumen
,,0.05,Bitumen
,,0.06,Bitumen
,,0.07,Bitumen
,,0.08,Bitumen
,,,Bitumen
,,,Bitumen
,,,Bitumen
,,,Bitumen
,,,Bitumen
,,0.05,Bitumen
,,0.06,Bitumen
,,0.07,Bitumen
,,0.08,Bitumen
,,,
,,,
,,,
,,,
,,0,
,,1,
,,,
,,0,
,,1,
,,,
,,0,
,,1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0.2,Fly Ash
,,0.21,Fly Ash
,,0.35,Fly Ash
,,0.21,GGBS
,,0.35,GGBS
,,10.4,Uncoated
,,15.3,Coated
,,10.4,Uncoated
,,15.3,Coated
,,10.4,Uncoated
,,15.3,Coated
,,0.94,Clinker
,,0.94,Clinker
,,0.66,GGBS
,,0.8,GGBS
,,0.06,Fly Ash
,,0.2,Fly Ash
,,0.21,Fly Ash
,,0.35,Fly Ash
,,0.21,GGBS
,,0.35,GGBS
,,0.66,GGBS
,,0.8,GGBS
,,0.06,Fly Ash
,,0.2,Fly Ash
,,0.21,Fly Ash
,,0.35,Fly Ash
,,0.21,GGBS
,,0.35,GGBS
,,0.66,GGBS
,,0.8,GGBS
,,0.36,GGBS
,,0.65,GGBS
,,0.36,GGBS
,,0.65,GGBS
,,0.36,GGBS
,,0.65,GGBS
,,,
,,,
,,,
,,0.94,Clinker
,,0.06,Fly Ash
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0.37,
,,0,
,,1,
,,0.37,
,,0,
,,1,
,,0.37,
,,0,
,,1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
