nepc.pk	nepc.classname	nepc.description	nepc.subclass
14147848	Bar		
10057623	Board		
10954251	Calendered Sheet		
10954251	Cast Products		
13390754	Coil		
1164281	Expanded		
1394513	Extrusions		
13717630	Fabrics		
8564920	Films		
8564920	Films		
4511341	Fittings		
16468161	Flexible Foam		
1781684	General-Purpose		
5127584	High-Impact		
1466932	Injection Molding		
8798405	Loose		
1361674	Orientated Film		
10426738	Paddings		
7324229	Panels		
12025125	Photovoltaic Modules		
3840143	Pipes		
3942249	Plates		
8380157	Polymer		
5202971	Recycled Products		
4723244	Resin		
8369010	Rigid Foam		
8319219	Rod		
7243302	Rolled Metals		
7143056	Sanitary Products		
7444347	Section		
7444347	Sheet		
15787706	Shingle		
5264192	Thermoformed		
13799290	Tiles		
10307087	Tube		
17191452	Wire		
