"nesi.pk"	"nesi.resource"	"nesi.valuetype"	"nesi.value"	"nesi.unit"	"nesi.location"	"nesi.with_property"	"nesi.reference"	"nesi.infotype"
1	13	"EE"	157.1	"MJ/kg"				"u"
2	13	"EE"	218	"MJ/kg"				
3	13	"EE"	29	"MJ/kg"	"World"			
4	13	"EC"	8.24	"kgCO_2/kg"				
5	13	"EC"	11.46	"kgCO_2/kg"				
6	13	"EC"	1.69	"kgCO_2/kg"	"World"			
7	13	"ECe"	9.16	"kgCO2e/kg"				
8	13	"ECe"	12.79	"kgCO2e/kg"				
9	13	"ECe"	1.81	"kgCO2e/kg"	"World"			
10	22	"EE"	361	"MJ/kg"				
11	22	"EE"	745	"MJ/kg"				
12	22	"EE"	258	"MJ/kg"				
13	22	"EC"	19.2	"kgCO_2/kg"				
14	22	"EC"	39.6	"kgCO_2/kg"				
15	22	"EC"	13.7	"kgCO_2/kg"				
16	22	"ECe"	20.6	"kgCO2e/kg"				
17	22	"ECe"	42.5	"kgCO2e/kg"				
18	22	"ECe"	14.7	"kgCO2e/kg"				
19	23	"EE"	3710	"MJ/kg"			22	
20	23	"EC"	228	"kgCO_2/kg"			22	
21	23	"ECe"		"kgCO_2e/kg"			22	
22	28	"EE"	164	"MJ/kg"			114	
23	28	"EC"	12.4	"kgCO_2/kg"			114	
24	28	"ECe"		"kgCO_2e/kg"			114	
25	30	"EE"	53.1	"MJ/kg"				
26	30	"EE"	72	"MJ/kg"				
27	30	"EE"	9	"MJ/kg"				
28	30	"EC"	2.8	"kgCO_2/kg"				
29	30	"EC"	3.9	"kgCO_2/kg"				
30	30	"EC"	0.49	"kgCO_2/kg"				
31	30	"ECe"	3.09	"kgCO2e/kg"				
32	30	"ECe"	4.18	"kgCO2e/kg"				
33	30	"ECe"	0.52	"kgCO2e/kg"				
34	39	"EE"	1470	"MJ/kg"			22	
35	39	"EC"	84	"kgCO_2/kg"			22	
36	39	"ECe"		"kgCO_2e/kg"			22	
37	40	"EE"	250	"MJ/kg"				
38	40	"EC"	13.5	"kgCO_2/kg"				
39	40	"ECe"	14.47	"kgCO_2e/kg"				
40	47	"EE"	128.2	"MJ/kg"			148	
41	47	"EC"	6.31	"kgCO_2/kg"			148	
42	47	"ECe"		"kgCO_2e/kg"			148	
43	120	"EE"	0.01	"MJ/kg"				
44	120	"EC"	0.001	"kgCO_2/kg"				
45	120	"ECe"		"kgCO_2e/kg"				
46	3	"EE"	853	"MJ/kg"			22	
47	3	"EC"	5.3	"kgCO_2/kg"			22	
48	3	"ECe"		"kgCO_2e/kg"			22	
49	24	"EE"	83	"MJ/kg"			22	
50	24	"EC"	5.39	"kgCO_2/kg"			22	
51	24	"ECe"		"kgCO_2e/kg"			22	
52	25	"EE"	52	"MJ/kg"			22	
53	25	"EC"	3.5	"kgCO_2/kg"			22	
54	25	"ECe"		"kgCO_2e/kg"			22	
55	26	"EE"	25	"MJ/kg"				
56	26	"EC"	1.91	"kgCO_2/kg"				
57	26	"ECe"	2.03	"kgCO_2e/kg"				
58	42	"EE"	378	"MJ/kg"			22	
