nepc.pk	nepc.name	nepc.description	nepc.shortname	neps.pk	nepcd.parent_pclass	nepcd.child_pclass	nepcd.child_mclass	nemc.pk	nemc.name	nemc.description	nemcd.parent_class	nemcd.child_class	nesi.pk	nesi.valuetype	nesi.value	nesi.infotype	nesi.date	nesi.location	nesi.reference	nesi.rcollection	nerc.pk	nerc.collection_id	nerc.member
523288	Products		P											S									
524289	Energy	Total enthalpy in a system	E		523288	524289		3153655	Photovoltaics					D									
524290	Exergy	Total enthalpy in a closed system, excluding entropy	EX		523288	524290		13072843	Silicon Photovoltaics		3153655	13072843		D									
524291	Emergy	Total enthalpy in an open system, excluding entropy	EM		523288	524291		16255315	Thin Film Photovoltaics		3153655	16255315		S									
524292	Solar Energy	Energy derived from solar radiation			524289	524292		12444106	Cadmium Telluride Photovoltaics		16255315	12444106		D									
524293	Electricity	Energy derived from movement of electrical charges			524289	524293		2560931	Copper Indium Gallium Selenide		16255315	2560931		D									
524294	Thermal Energy	Kinetic energy on the molecular scale			524289	524294		9417551	Crystalline Silicon Photovoltaics		13072843	9417551		S									
524295	Capital products	Products that create other products			523288	524295		5577686	Amorphous Silicon Photovoltaics		13072843	5577686		D									
1106725	Energy-Generating Products	Capital products that generate energy			523288	1106725		5577686	Amorphous Silicon Photovoltaics		16255315	5577686		D									
11526004	Photovoltaics	Products that generate electricity from solar energy	PV		1106725	11526004	3153655	207607	Monocrystalline Silicon Photovoltaics		13072843	207607		S									
3880921	Solar Thermal	Products that generate thermal energy from solar energy			1106725	3880921		144654	Polycrystalline Silicon Photovoltaics		13072843	144654		D									
13383714	Concentrated Solar Thermal	Products that concentrate solar energy to generate thermal energy	CSP		3880921	13383714		219421	Permanent Magnet					D									
9937630	Concentrated Photovoltaics	Products that concentrate solar energy to generate electricity	CSPV		11526004	9937630		383507	High-Temperature Superconductor														
2598642	Silicon Photovoltaics		Si-PV		11526004	2598642	13072843																
17109936	Crystalline Silicon Photovoltaics		c-Si PV		2598642	17109936	9417551																
14080702	Monocrystalline Silicon Photovoltaics		m-Si PV		17109936	14080702	207607																
14574066	Polycrystalline Silicon Photovoltaics		p-Si PV		17109936	14574066	144654																
14126298	Thin Film Photovoltaics		TF PV		3880921	14126298	16255315																
2603843	Amorphous Silicon Photovoltaics		a-Si PV		2598642	2603843	5577686																
2603843	Amorphous Silicon Photovoltaics		a-Si PV		14126298	2603843	5577686																
14729412	Cadmium Telluride Photovoltaics	CdTe	CdTe PV		14126298	14729412	12444106																
5675499	Copper Indium Gallium Selenide Photovoltaics	CuInxGa(1-x)Se2	CIGS PV		14126298	5675499	2560931																
13849743	Parabolic Trough Photovoltaics		PT PV		9937630	8316745																	
7490462	Parabolic Trough Solar Thermal		PT SP		13383714	7490462																	
7503686	Power Tower Solar Thermal				13383714	7503686																	
15160812	Power Tower Photovoltaics				9937630	15160812																	
9867502	Parabolic Dish Solar Thermal		PD SP		13383714	9867502																	
1193928	Parabolic Dish Photovoltaics		PD PV		9937630	1193928																	
13933873	Fresnel Trough Solar Thermal				13383714	13933873																	
8316745	Fresnel Trough Photovoltaics				9937630	8316745																	
4577075	Wind Generator				1106725	4577075																	
1087939	Onshore Wind Generator				4577075	1087939																	
16765404	Offshore Wind Generator				4577075	16765404																	
3012577	Direct-Drive Wind Generator		DDW		4577075	3012577																	
1789607	High-Temperature Superconductor		HTS		1789607		383507																
5054455	High-Temperature Superconductor Wind Generator		HTS		4577075	5054455																	
6878869	Permanent Magnet		PM		6878869		219421																
17189165	Permanent Magnet Wind Generator		PM		4577075	17189165																	
5392765	Nuclear Reactors				1106725	4577075																	
15003521	Gen II Nuclear Reactors				5392765	15003521																	
6746505	Gen III Nuclear Reactors				5392765	6746505																	
13263311	Gen III+ Nuclear Reactors				5392765	13263311																	
5559174	Gen IV Nuclear Reactors				5392765	5559174																	
10483613	Light Water Reactors		LWR		5392765	10483613																	
9706235	Heavy Water Reactors		HWR		5392765	9706235																	
17286303	Boiling Water Reactors		BWR		17286303	17286303																	
12874547	Pressurized Water Reactors		PWR		6746505	12874547																	
12874547	Pressurized Water Reactors		PWR		10483613	12874547																	
13733874	Gas-Cooled Reactors		GCR			13733874																	
9203932	High-Temperature Gas-Cooled Reactors		HT-GC			9203932																	
11469808	European Pressurized Reactors		EPR		6746505	11469808																	
11469808	European Pressurized Reactors		EPR		12874547	11469808																	
5234044	Supercritical Water Reactors		SCWR		6746505	5234044																	
5234044	Supercritical Water Reactors		SCWR		5559174	5234044																	
1457865	Heavy Water Gas-Cooled Reactor				13733874	1457865																	
16347292	Advanced gas-cooled reactor				13733874	16347292																	
8730810	Gas-cooled fast reactor				13733874	8730810																	
10063083	Gas turbine modular helium reactor				13733874	10063083																	
14942655	High temperature gas cooled reactor				13733874	14942655																	
5284958	Pebble bed reactor 				13733874	5284958																	
1820006	Pebble bed modular reactor				13733874	1820006																	
3460102	Very high temperature reactor				13733874	3460102																	
