"pk"	"name"	"description"	"short_name"
"303f729e-7f8e-11e3-bc66-f07bcb4eb64e"	"Products"		"P"
"303f81da-7f8e-11e3-bc66-f07bcb4eb64e"	"Energy"	"Total enthalpy in a system"	"EN"
"303f909e-7f8e-11e3-bc66-f07bcb4eb64e"	"Entropy"	"“A measure of the number of specific ways in which a thermodynamic system may be arranged, often taken to be a measure of disorder, or a measure of progressing towards thermodynamic equilibrium.”"	"ES"
"303fa336-7f8e-11e3-bc66-f07bcb4eb64e"	"Exergy"	"“Total enthalpy in a closed system, excluding entropy”"	"EX"
"303fb358-7f8e-11e3-bc66-f07bcb4eb64e"	"Emergy"	"“Total enthalpy in an open system, excluding entropy”"	"EM"
"303fc5d2-7f8e-11e3-bc66-f07bcb4eb64e"	"Solar Energy"	"Energy derived from solar radiation"	
"303fd5ae-7f8e-11e3-bc66-f07bcb4eb64e"	"Electricity"	"Energy derived from movement of electrical charges"	
"303fe490-7f8e-11e3-bc66-f07bcb4eb64e"	"Thermal Energy"	"Kinetic energy on the molecular scale"	
"303ff840-7f8e-11e3-bc66-f07bcb4eb64e"	"Capital"	"Products that create other products"	
"30400772-7f8e-11e3-bc66-f07bcb4eb64e"	"Energy Generators"	"Capital products that generate energy"	
"30401b0e-7f8e-11e3-bc66-f07bcb4eb64e"	"Renewable Energy Generation"		
"30402b26-7f8e-11e3-bc66-f07bcb4eb64e"	"Storage"		
"30403c2e-7f8e-11e3-bc66-f07bcb4eb64e"	"Energy Storage"		
"30404b56-7f8e-11e3-bc66-f07bcb4eb64e"	"Transportation"		
"30405a1a-7f8e-11e3-bc66-f07bcb4eb64e"	"Agriculture"		
"30406b0e-7f8e-11e3-bc66-f07bcb4eb64e"	"Chemical Storage"		
"304079be-7f8e-11e3-bc66-f07bcb4eb64e"	"Biofuels"		
"30408c74-7f8e-11e3-bc66-f07bcb4eb64e"	"Hydrated salts"		
"30409d18-7f8e-11e3-bc66-f07bcb4eb64e"	"Hydrogen"		
"3040b00a-7f8e-11e3-bc66-f07bcb4eb64e"	"Hydrogen peroxide"		
"3040c05e-7f8e-11e3-bc66-f07bcb4eb64e"	"Liquid nitrogen"		
"3040dc2e-7f8e-11e3-bc66-f07bcb4eb64e"	"Power to gas"		
"3040f56a-7f8e-11e3-bc66-f07bcb4eb64e"	"Vanadium pentoxide"		
"30411162-7f8e-11e3-bc66-f07bcb4eb64e"	"Biological Storage"		
"3041268e-7f8e-11e3-bc66-f07bcb4eb64e"	"Glycogen"		
"3041375a-7f8e-11e3-bc66-f07bcb4eb64e"	"Starch"		
"304149e8-7f8e-11e3-bc66-f07bcb4eb64e"	"Electrochemical Storage"		
"30415eec-7f8e-11e3-bc66-f07bcb4eb64e"	"Flow battery"		
"304172d8-7f8e-11e3-bc66-f07bcb4eb64e"	"Rechargeable battery"		
"304182be-7f8e-11e3-bc66-f07bcb4eb64e"	"Electrical Storage"		
"3041918c-7f8e-11e3-bc66-f07bcb4eb64e"	"Capacitor"		
"3041a712-7f8e-11e3-bc66-f07bcb4eb64e"	"Supercapacitor"		
"3041b6da-7f8e-11e3-bc66-f07bcb4eb64e"	"Superconducting magnetic energy storage"		"SMES"
"3041cb20-7f8e-11e3-bc66-f07bcb4eb64e"	"Mechanical Storage"		
"3041daa2-7f8e-11e3-bc66-f07bcb4eb64e"	"Compressed air energy storage"		"CAES"
"3041eb78-7f8e-11e3-bc66-f07bcb4eb64e"	"Flywheel energy storage"		
"3041faaa-7f8e-11e3-bc66-f07bcb4eb64e"	"Gravitational potential energy storage"		
"30420b3a-7f8e-11e3-bc66-f07bcb4eb64e"	"Hydraulic accumulator"		
"30421a58-7f8e-11e3-bc66-f07bcb4eb64e"	"Pumped hydroelectric energy storage"		"PHES"
"30422930-7f8e-11e3-bc66-f07bcb4eb64e"	"Spring Storage"		
"30423be6-7f8e-11e3-bc66-f07bcb4eb64e"	"Thermal Storage"		
"30424c76-7f8e-11e3-bc66-f07bcb4eb64e"	"Brick storage heater"		
"30425d6a-7f8e-11e3-bc66-f07bcb4eb64e"	"Cryogenic liquid air or nitrogen"		
"30426c9c-7f8e-11e3-bc66-f07bcb4eb64e"	"Eutectic system"		
"30427b56-7f8e-11e3-bc66-f07bcb4eb64e"	"Ice Storage"		
"30428f24-7f8e-11e3-bc66-f07bcb4eb64e"	"Molten salt Storage"		
"30429e88-7f8e-11e3-bc66-f07bcb4eb64e"	"Seasonal thermal energy storage"		
"3042b1fc-7f8e-11e3-bc66-f07bcb4eb64e"	"Solar pond"		
