"parent_class"	"child_class"
"302f5076-7f8e-11e3-bc66-f07bcb4eb64e"	"3028fea6-7f8e-11e3-bc66-f07bcb4eb64e"
"302f5076-7f8e-11e3-bc66-f07bcb4eb64e"	"30292f98-7f8e-11e3-bc66-f07bcb4eb64e"
"30292f98-7f8e-11e3-bc66-f07bcb4eb64e"	"30296aa8-7f8e-11e3-bc66-f07bcb4eb64e"
"302f5076-7f8e-11e3-bc66-f07bcb4eb64e"	"3029a810-7f8e-11e3-bc66-f07bcb4eb64e"
"3029a810-7f8e-11e3-bc66-f07bcb4eb64e"	"302a0238-7f8e-11e3-bc66-f07bcb4eb64e"
"302e6ee0-7f8e-11e3-bc66-f07bcb4eb64e"	"302a2ed4-7f8e-11e3-bc66-f07bcb4eb64e"
"302d9e7a-7f8e-11e3-bc66-f07bcb4eb64e"	"302a5b2a-7f8e-11e3-bc66-f07bcb4eb64e"
"302d9e7a-7f8e-11e3-bc66-f07bcb4eb64e"	"302a7b96-7f8e-11e3-bc66-f07bcb4eb64e"
"302e38f8-7f8e-11e3-bc66-f07bcb4eb64e"	"302a9194-7f8e-11e3-bc66-f07bcb4eb64e"
"302e6ee0-7f8e-11e3-bc66-f07bcb4eb64e"	"302aa508-7f8e-11e3-bc66-f07bcb4eb64e"
"302de380-7f8e-11e3-bc66-f07bcb4eb64e"	"302ab9bc-7f8e-11e3-bc66-f07bcb4eb64e"
"302db7a2-7f8e-11e3-bc66-f07bcb4eb64e"	"302ad028-7f8e-11e3-bc66-f07bcb4eb64e"
"302db7a2-7f8e-11e3-bc66-f07bcb4eb64e"	"302aeea0-7f8e-11e3-bc66-f07bcb4eb64e"
"302db7a2-7f8e-11e3-bc66-f07bcb4eb64e"	"302b0c46-7f8e-11e3-bc66-f07bcb4eb64e"
"302e6ee0-7f8e-11e3-bc66-f07bcb4eb64e"	"302b2af0-7f8e-11e3-bc66-f07bcb4eb64e"
"302e6ee0-7f8e-11e3-bc66-f07bcb4eb64e"	"302b4756-7f8e-11e3-bc66-f07bcb4eb64e"
"302e6ee0-7f8e-11e3-bc66-f07bcb4eb64e"	"302b7c76-7f8e-11e3-bc66-f07bcb4eb64e"
"302a0238-7f8e-11e3-bc66-f07bcb4eb64e"	"302b9846-7f8e-11e3-bc66-f07bcb4eb64e"
"302a0238-7f8e-11e3-bc66-f07bcb4eb64e"	"302bb632-7f8e-11e3-bc66-f07bcb4eb64e"
"302a0238-7f8e-11e3-bc66-f07bcb4eb64e"	"302bd6d0-7f8e-11e3-bc66-f07bcb4eb64e"
"30292f98-7f8e-11e3-bc66-f07bcb4eb64e"	"302bef12-7f8e-11e3-bc66-f07bcb4eb64e"
"302f5076-7f8e-11e3-bc66-f07bcb4eb64e"	"302c0060-7f8e-11e3-bc66-f07bcb4eb64e"
"30292f98-7f8e-11e3-bc66-f07bcb4eb64e"	"302c1172-7f8e-11e3-bc66-f07bcb4eb64e"
"30296aa8-7f8e-11e3-bc66-f07bcb4eb64e"	"302c2fc2-7f8e-11e3-bc66-f07bcb4eb64e"
