nep.pk	nep.name	nep.description	nep.shortname	neps.pk	nep.pparent	nep.pchild	nem.pk	nem.name	nem.description	nem.shortname	nem.mparent	nem.mchild	ner.pk	ner.name	ner.shortname	ner.rtype	necol.pk	necol.collection_id	necol.resource	necol.name	neproc.pk	neproc.name	neproc.desc	nepio.pk	nepio.process	nepio.arg_pk	nepio.arg_type
523288	Products		P				40	Zirconium					1	Hydrogen	H	R	1	1	1	Alkali Metals	Alkali Metals						
524289	Energy	Total enthalpy in a system	EN		523288	524289	120	Water					2	Helium	He	R	2	18	2	Noble Gases	Alkaline Earth Metals						
524290	Entropy	“A measure of the number of specific ways in which a thermodynamic system may be arranged, often taken to be a measure of disorder, or a measure of progressing towards thermodynamic equilibrium.”	ES		524289	524290	238	Coverings			500	238	3	Lithium	Li	R	3	1	3	Alkali Metals	Scandium Group	Wind energy to mechanical energy				524296	I
524291	Exergy	“Total enthalpy in a closed system, excluding entropy”	EX		524289	524291	239	Coatings			238	239	4	Beryllium	Be	R	4	2	4	Alkaline Earth Metals	Titanium Group	Wind energy to mechanical energy				524297	O
524292	Emergy	“Total enthalpy in an open system, excluding entropy”	EM		524289	524292	240	Particulate Materials			500	240	5	Boron	B	R	5	13	5	Boron Group	Vanadium Group	Mechanical energy to electricity				524297	I
524293	Solar Energy	Energy derived from solar radiation			524289	524293	241	Aggregates			240	241	6	Carbon	C	R	6	14	6	Carbon Group	Chromium Group	Mechanical energy to electricity				524293	O
524294	Electricity	Energy derived from movement of electrical charges			524289	524294	242	Asbestos			313	242	7	Nitrogen	N	R	7	15	7	Pnictogens	Manganese Group	Solar energy to electricity				524292	I
524295	Thermal Energy	Kinetic energy on the molecular scale			524289	524295	243	Asphalt			307	243	8	Oxygen	O	R	8	16	8	Chalcogens	Iron Group	Solar energy to electricity				524293	O
524296	Capital	Products that create other products			523288	524296	244	Bitumen			307	244	9	Fluorine	F	R	9	17	9	Halogens	Cobalt Group	Solar energy to thermal energy				524292	I
1106725	Energy Generators	Capital products that generate energy			523288	1106725	245	Brass			312	245	10	Neon	Ne	R	10	18	10	Noble Gases	Nickel Group	Solar energy to thermal energy				524294	O
1013288	Renewable Energy Generation				523288	1013288	249	Carpet			313	249	11	Sodium	Na	R	11	1	11	Alkali Metals	Copper Group						
6778110	Storage				523288	6778110	251	Cement			309	251	12	Magnesium	Mg	R	12	2	12	Alkaline Earth Metals	Zinc Group						
11358582	Energy Storage				6778110	11358582	252	Ceramics			308	252	13	Aluminum	Al	R	13	13	13	Boron Group	Boron Group						
14625142	Transportation				523288	14625142	253	Clay			308	253	14	Silicon	Si	R	14	14	14	Carbon Group	Carbon Group						
979286	Agriculture				523288	979286	254	Concrete				254	15	Phosphorus	P	R	15	15	15	Pnictogens	Pnictogens						
4965603	Chemical Storage				11358582	4965603	256	Damp Proof Course			313	256	16	Sulfur	S	R	16	16	16	Chalcogens	Chalcogens						
12832894	Biofuels				4965603	12832894	257	Felt			313	257	17	Chlorine	Cl	R	17	17	17	Halogens	Halogens						
6850188	Hydrated salts				4965603	6850188	259	Flax			313	259	18	Argon	Ar	R	18	18	18	Noble Gases	Noble Gases						
7788119	Hydrogen				4965603	7788119	260	Fly Ash			241	260	19	Potassium	K	R	19	1	19	Alkali Metals	Lanthanides						
7016682	Hydrogen peroxide				4965603	7016682	270	GGBS			241	270	20	Calcium	Ca	R	20	2	20	Alkaline Earth Metals	Actinides						
7341403	Liquid nitrogen				4965603	7341403	272	Grit			241	272	21	Scandium	Sc	R	21	3	21	Scandium Group							
15836929	Power to gas				4965603	15836929	275	Insulation			238	275	22	Titanium	Ti	R	22	4	22	Titanium Group							
5893118	Vanadium pentoxide				4965603	5893118	276	Lime				276	23	Vanadium	V	R	23	5	23	Vanadium Group							
15562844	Biological Storage				11358582	15562844	278	Linoleum			238	278	24	Chromium	Cr	R	24	6	24	Chromium Group							
2336056	Glycogen				15562844	2336056	280	Mandolite				280	25	Manganese	Mn	R	25	7	25	Manganese Group							
7584192	Starch				15562844	7584192	285	Paint			239	285	26	Iron	Fe	R	26	8	26	Iron Group							
7257689	Electrochemical Storage				11358582	7257689	289	Plastic				289	27	Cobalt	Co	R	27	9	27	Cobalt Group							
3259907	Flow battery				7257689	3259907	292	Rubber				292	28	Nickel	Ni	R	28	10	28	Nickel Group							
13850957	Rechargeable battery				7257689	13850957	293	Sand			241	293	29	Copper	Cu	R	29	11	29	Copper Group							
14798894	Electrical Storage				11358582	14798894	296	Soil				296	30	Zinc	Zn	R		12	30	Zinc Group							
14862146	Capacitor				14798894	14862146	297	Steel				297	31	Gallium	Ga	R		13	31	Boron Group							
1262533	Supercapacitor				14798894	1262533	298	Stone				298	32	Germanium	Ge	R		14	32	Carbon Group							
12874922	Superconducting magnetic energy storage		SMES		14798894	12874922	299	Straw				299	33	Arsenic	As	R		15	33	Pnictogens							
11700913	Mechanical Storage				11358582	11700913	302	Timber				302	34	Selenium	Se	R		16	34	Chalcogens							
1005041	Compressed air energy storage		CAES		11700913	1005041	304	Vicuclad				304	35	Bromine	Br	R		17	35	Halogens							
13522373	Flywheel energy storage				11700913	13522373	305	Wax				305	36	Krypton	Kr	R		18	36	Noble Gases							
6807335	Gravitational potential energy storage				11700913	6807335	306	Wood Stain			239	306	37	Rubidium	Rb	R		1	37	Alkali Metals							
2814999	Hydraulic accumulator				11700913	2814999	307	Composite Materials			500	307	38	Strontium	Sr	R		2	38	Alkaline Earth Metals							
11638042	Pumped hydroelectric energy storage		PHES		11700913	11638042	308	Aggregate Composites			307	308	39	Yttrium	Y	R		3	39	Scandium Group							
10849212	Spring Storage				11700913	10849212	309	Binders			500	309	40	Zirconium	Zr	R		4	40	Titanium Group							
6968748	Thermal Storage				11358582	6968748	310	Solutions			500	310	41	Niobium	Nb	R		5	41	Vanadium Group							
2926732	Brick storage heater				6968748	2926732	311	Metals			500	311	42	Molybdenum	Mo	R		6	42	Chromium Group							
2544651	Cryogenic liquid air or nitrogen				6968748	2544651	312	Alloy Metals			311	312	43	Technetium	Tc	R		7	43	Manganese Group							
11685304	Eutectic system				6968748	11685304	312	Alloy Metals			310	312	44	Ruthenium	Ru	R		8	44	Iron Group							
11863997	Ice Storage				6968748	11863997	313	Fiber Materials			500	310	45	Rhodium	Rh	R		9	45	Cobalt Group							
1731027	Molten salt Storage				6968748	1731027	314	Fiber Composites					46	Palladium	Pd	R		10	46	Nickel Group							
5139275	Seasonal thermal energy storage				6968748	5139275	500	Materials	Generic superclass for materials	M			47	Silver	Ag	R		11	47	Copper Group							
13195932	Solar pond				6968748	13195932	54358	Steel Plate			297	54358	48	Cadmium	Cd	R		12	48	Zinc Group							
5770919	Steam accumulator				6968748	5770919	88700	Cadmium Telluride Photovoltaics	CdTe	CdTe	472231	88700	49	Indium	In	R		13	49	Boron Group							
11423790	Thermal energy storage				6968748	11423790	88700	Cadmium Telluride Photovoltaics	CdTe	CdTe	425508	88700	50	Tin	Sn	R		14	50	Carbon Group							
8148347	Lead–acid battery		PbA		13850957	8148347	117857	Crystalline Silicon Photovoltaics		c-Si PV	439123	117857	51	Antimony	Sb	R		15	51	Pnictogens							
6211734	Alkaline battery				13850957	6211734	117857	Crystalline Silicon Photovoltaics		c-Si PV	413560	117857	52	Tellurium	Te	R		16	52	Chalcogens							
2969160	Nickel–iron battery		NiFe		13850957	2969160	138036	Steel Pipe			297	138036	53	Iodine	I	R		17	53	Halogens							
5680482	Nickel–cadmium battery		Ni-Cad		13850957	5680482	144654	Permanent Magnet 		PM			54	Xenon	Xe	R		18	54	Noble Gases							
14033148	Nickel–hydrogen battery		NiH		13850957	14033148	146269	Wallpaper			286	146269	55	Cesium	Cs	R		1	55	Alkali Metals							
9326465	Nickel–metal hydride battery		NiMH		13850957	9326465	146843	Urea Formaldehyde			294	146843	56	Barium	Ba	R		2	56	Alkaline Earth Metals							
12955549	Nickel–zinc battery				13850957	12955549	159216	DN 200			253	159216	57	Lanthanum	La	R		3	57	Scandium Group							
8135130	Lithium-air battery		Li-Air		13850957	8135130	161426	Rockwool			275	161426	58	Cerium	Ce	R		19	58	Lanthanides							
14327050	Lithium-ion battery		Li-Ion		13850957	14327050	162152	Polypropylene			289	162152	59	Praseodymium	Pr	R		19	59	Lanthanides							
6620124	Lithium-ion polymer battery		LiPo		13850957	6620124	163683	HDPE			289	163683	60	Neodymium	Nd	R		19	60	Lanthanides							
16088742	Lithium iron phosphate battery		LiFePo		13850957	16088742	164571	1:2:9 Cement:Lime:Sand			283	164571	61	Promethium	Pm	R		19	61	Lanthanides							
11551489	Lithium sulfur battery		LiS		13850957	11551489	170234	28/35MPa			254	170234	62	Samarium	Sm	R		19	62	Lanthanides							
14046583	Lithium–titanate battery				13850957	14046583	176864	1:1:6 Cement:Lime:Sand			283	176864	63	Europium	Eu	R		19	63	Lanthanides							
9112852	Sodium-ion battery		Na-Ion		13850957	9112852	181274	20/25MPa			254	181274	64	Gadolinium	Gd	R		19	64	Lanthanides							
10601918	Thin film lithium battery				13850957	10601918	182567	Polyurethane			289	182567	65	Terbium	Tb	R		19	65	Lanthanides							
11587190	Zinc bromide battery				13850957	11587190	185431	OSB			258	185431	66	Dysprosium	Dy	R		19	66	Lanthanides							
7865108	Vanadium redox battery				13850957	7865108	188262	Natural Vermiculite			303	188262	67	Holmium	Ho	R		19	67	Lanthanides							
2569187	Sodium-sulfur battery		NaS		13850957	2569187	188373	LDPE			289	188373	68	Erbium	Er	R		19	68	Lanthanides							
3942474	Molten salt battery				13850957	3942474	190870	Steel Rod			297	190870	69	Thulium	Tm	R		19	69	Lanthanides							
9898879	Silver-oxide battery				13850957	9898879	195046	Polycarbonate			289	195046	70	Ytterbium	Yb	R		19	70	Lanthanides							
